accuracy,loss,val_accuracy,val_loss
0.11666666716337204,2.8743956089019775,0.12765957415103912,2.6725783348083496
0.1666666716337204,2.6246609687805176,0.173758864402771,2.5522327423095703
0.25,2.4153265953063965,0.283687949180603,2.379709005355835
0.3499999940395355,2.222529649734497,0.3333333432674408,2.3004086017608643
0.41818180680274963,2.0107951164245605,0.3581560254096985,2.165590286254883
0.5075757503509521,1.7417447566986084,0.42907801270484924,2.0485076904296875
0.596969723701477,1.4779335260391235,0.4929077923297882,1.987493634223938
0.6621212363243103,1.3186265230178833,0.4645390212535858,2.1306560039520264
0.7151514887809753,1.0997321605682373,0.4858156144618988,2.1544811725616455
0.739393949508667,0.9759608507156372,0.5035461187362671,2.0592713356018066
0.7727272510528564,0.8403286337852478,0.4964539110660553,2.2052559852600098
0.8227272629737854,0.6981890797615051,0.4751773178577423,2.318507671356201
